source_tweet,reply_1,reply_2,reply_3,reply_4,reply_5,reply_6,reply_7,reply_8,reply_9,reply_10,reply_11,reply_12,reply_13,reply_14,reply_15,reply_16,reply_17,reply_18,reply_19,reply_20,reply_21,reply_22,reply_23,reply_24,reply_25,reply_26,reply_27,reply_28,reply_29,reply_30,reply_31,reply_32,reply_33,reply_34,reply_35,reply_36,reply_37,reply_38,reply_39,reply_40,reply_41,reply_42,reply_43,reply_44,reply_45,reply_46,reply_47,reply_48,reply_49,reply_50,reply_51,reply_52,reply_53,reply_54,reply_55,reply_56,reply_57,reply_58,reply_59,reply_60,reply_61,reply_62,reply_63,reply_64,reply_65,reply_66,reply_67,reply_68,reply_69,reply_70,reply_71,reply_72,reply_73,reply_74,reply_75,reply_76,reply_77,reply_78,reply_79,reply_80,reply_81,reply_82,reply_83,reply_84,reply_85,reply_86,reply_87,reply_88,reply_89,reply_90,reply_91,reply_92,reply_93,reply_94,reply_95,reply_96,reply_97,reply_98,reply_99,reply_100,reply_101,reply_102,reply_103,reply_104,reply_105,reply_106,reply_107,reply_108,reply_109,reply_110,reply_111,reply_112,reply_113,reply_114,reply_115,reply_116,reply_117,reply_118,reply_119,reply_120,reply_121,reply_122,reply_123,reply_124,reply_125,reply_126,reply_127,reply_128,reply_129,reply_130,reply_131,reply_132,reply_133,reply_134,reply_135,reply_136,reply_137,reply_138,reply_139,reply_140,reply_141,reply_142,reply_143,reply_144,reply_145,reply_146,reply_147,reply_148,reply_149,reply_150,reply_151,reply_152,reply_153,reply_154,reply_155,reply_156,reply_157,reply_158,reply_159,reply_160,reply_161,reply_162
verse quran want hold hostage chocolate shop sydney terrorist fuck,shit sherlock real say decade try millenia learn history,religion not development fool,,,mohame like fuck little aisha like year old girl,hahahha right plenty bomb massacre,kid make hold islamic flag crime religiously motivate,exactly hold rte end action lone weirdo share,religion religion peace god like blood shed,,allah god thing lol different name,sorry reveal god issue read verse s answer,muslim follow religion yes terrorism religion fill hate,allah arabic word god,tweet allah alternate account,know god twitter account right buddhist maybe joke,communicate wrongly worship idol traitor,make point islam grow brain,release month contract mention text sure text promote conversion pagans,go end badly muslim carry idea objective isis,explain context imagine pact pact word mouth guess people verse,forbid expect common sense theist surely,cure religion education,oh god illegal,terrorism brutally kill people not deem muslim,fuck islam fuck mohame fuck goat,tee hee superb,bullshit daesh follow sunnah,,want god pbuh,gown preserve dignity gown well prostitute,verse release issue,ok invite verse say chocolate shop photo real book amp html text google translate,lol ya right mohame psychopath pedophile slaver,,bullshit surah slay idolater find captive,live mud hut wipe arse packet quaver,plague time thin herd,hah stop welcome monkey house god,verse pagans ask thee asylum grant amp escort secure,mt verse quran want hold hostage chocolate shop sydney,probably actually true mate,know mean mean people betray muslim time,yes muslims idol worshipper sign month peace agreement break agreement,muslim bad thing terrorism ww ww crusade e t c,course allah guy,,specially christmas chocolate easter prick,thank god gun bad,woman fucking stay hut gown follow strict rule,,not house work not want btw gown protect abusive culture,actually go mad perceive power goon,lmao ww kill ppl war stfu,mohame like kill people enslave rape fucker think okay,know lol ok,ugly extension amp,defend belief system condone wife beat surah murder unbelief make dick,wahey pathetic religion,muslim state isis help nato fight,gun say armed,islam lie suppressive measure population hold country decade,haha science rn sincere effort muslim scientist like al khwarzmi avicenna e t c,know joke right,allah traslate god arabic yeah,voicemail try later satisfied service cancel day,ww ww war kill people war start muslim u gud,religion complete fallacy,actually verse intend idol worshipper betray pact,sorry god wrong read prophet hadditha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosque synagogue church invite public pray sydney hostage,surprised take hostage outnumber badly,specifically guy way big event discover transit hole near place,long kill hostage excellent chance make cafe alive,hole big event happen,disturbing news deep sympathy hostage family terrible them,,inclined think outside square smell right adl guy turn wrong flag etc,oh cool need religion,big event postpone foil hole stand get lot,wrong intuition tell religion base odd,provide kill fact stage nutter rampage,strong round denouncing violence religion actually effective,explain have wrong flag somebody right flag,,good job interfaith lot good ppl different faith believe islam call muslims good ppl,mosque synagogue church invite public pray sydney hostage irony explosion,evidence e flag say situation outline awful rmit guy morning somewhat plausible,termsof religion nice church mosque amp synagoge fm synagoge cruzade suicidebomber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viral aussie solidarity amid islamic state link,ride u ur mom,lol tweet say early tweet expose ugly face islamist,truth hurt dog breath,u look like ur wait cum shot ugly face,,abbot shirtfront terrorist,isis islam terror,islam hijack isis,oh bloody good world know amp pay western intel war terror fraud,islamia u pussy kill people syria everyday ur country support fuck ur self aust,becos austrlia choose bigotry will not stop jihad norway sweden uk lot cudnt stop jihad,becos austrlia choose bigotry will not stop jihad norway sweden uk lot cudnt stop jihad,face hide naqab burkha islam real curse humanity,u sort stinky paki ur thumb ur mouth suck go to ok child,ur face real terror u ugly mofo,chicken come home roost australian terrorist syria y u morn syrians u punk,tweet expose ugly face islamist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continue monitor situation closely touch express thought prayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love initiative spread compassion thought affect,agree important remember today everyday lifelong pledge,quote thing think hear dr king proud today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sydney siege hit hour mark live late summary event,guy hold cafeteria hostage irony medium cricise india take long neutralize,excellent roundup siege hit hour mark live late summary event,sydney siege hit hour mark live late summary event,sydney siege hit hour mark unreal hope hostage release unharmed,give communist view,consider mumbai police great job counter terrorist,add guy equipped police go hrs pity citizen,gun man pick target specifically medium attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take selfie outside hostage situation seriously need reevaluate life,fuck kid moron,,bunch sick vapid twit,,yeah man know,,wrong ppl asshole begin technology let people know asshole,,,leader r big asshole pm abbott business usual c spend,agree technology turn human race insensitive unintelligent narcissist,wud pm idiot abbott need reevaluate life businesss usual folk c consume,technology bring inner assholeness people,fuck ashamed love take selfie disgusting,sick world live,think know clear take selfie photo,yes depressing level,internet famous asshole wear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebanese muslim association issue statement condemn call calm,course islamophobe ignore muslim community speak,,terror religion goon play innocent life deal firmly,lebanese muslims call people remain calm united stand mention pray,letter clearly end pray,think go efficacy prayer solve specific wide problem,,iam sure world pray innocent ppl,question pray efficacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
people safe amp account martin place studio evacuate thought involve,thank goodness people safe amp account martin place studio evacuate,,ask stupid question,people safe amp account aft studio evacuate thought w involve,rt people safe amp account martin place studio evacuate,  make safe police amp hostage broadcast police movement tactic,happy hear massive logo scroll,truth rumour train hijack edgecliff,safe broadcast live image gunman strategic location cop,good news prayer canada end peacefully,good hear guy safe let hope outcome hostage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tourist take selfie outside like caf,,,start suddenly definition matter,,,terrible make ugly situation ugly,siege porn fuck,live place agree pain rubberneck confine outsider,,surly paddle snap intent purpose selfie,  necessarily definition go,true comment intend light hearte critique tourist mindset,,correct portrait sort viewer make little difference,,think people differentiate portrait take selfie,asinine tweet expect tourist town stand silence know siege,ha ha ha chester place talk throng summer,require take camera hold arm length point mirror case pic,smh rt tourist take selfie outside like caf,,stigma brit abroad know come hope peaceful outcome,,call surly happy happy place,,fair point u live area popular tourist test patience saint bless,fair point use hi light nit pick nature tweet,sadly medium pay use pic,hope proud mt tourist take selfie outside,,understand people want near potentially violent situation ugh,know holiday maker local,people appear brain surgically remove venture holiday,point matter way,ghoul detachment reality worry think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
say gunman reportedly know police medium,come craze nut jesus total different response r nut,hostage taker clearky plan location maxiumum effect medium coverage hope safe release,course cia false flag,shahada flag ' god allah muhammad messenger allah ' peaceful tolerant freak,mean catholic authoritative position,despite demand isis flag cafe guy gunman amp terrorist oh muslim,oh peter hore,know speculation fact,think people cafe,blame saudia cair m brotherhood want lull tolerate islam amp stop terrorist,stop report lunatic muslim complete news blackout act commit,hostage taker know medium police allow terroise public,brit pathetic far la la land r u go travel deny terrorism muslim,false flag divert frm d bad budget n cause racial division,say gunman reportedly know police medium,likely occur street channel studio,say gunman reportedly know police medium rolf harris,attention seeker minute shit brick,nut case religion matter practice black magic n stuff like,pray poor hostage hope gun man get bullet head,dude type terrorist forget flag right,mention involve murder sexual predator disguise spiritual,mean public figure,obviously know news hour,flag involve class terrorism probably news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video footage show police storm sydney cafe,want live land free home brave europe,  video footage show police storm sydney cafe,video de la polic ingresando al cafe video footage show police storm sydney cafe,crazy thing see omg thankfully,video footage show police storm sydney cafe,pol cia invade caf na austr lia onde terrorrista mant m v rio ref n,people feel discussion amp communication solve problem anymore,video footage show police storm sydney cafe,,video footage show police storm sydney cafe,,video footage show police storm sydney cafe,video footage show police storm sydney cafe,,negotiation unreasonable people damage way,video footage show police storm sydney cafe,thank obama plan import thousand syrian usa transformation demographic great,video footage show police storm sydney cafe,  good police careful,rt video footage show police storm sydney cafe,new law pass kenya illegal medium house footage jail share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sky news reporter scene live sky news,stop show police positioning,mt scene live sky news,break news muslim leader condemn oh yeah happen,,,,original content feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
let mind associate kkk christianity,humble willfully ignorant goodness deny existence ss rs admit,let mind associate islam publicly hang behead gay,honey spread lie know answer,  lt hatred mlk get block,,block troll new tactic claiming kkk totally brain child liberal,wonder discuss hostage hastag,know talk southern strategy liberal hogwash feel well,,inability reason get call idiot,attorney general bug harass mlk bobby kennedy,deny false equivalency southern democrats diff current,blog self publish format well,  hero know history discuss pick rep john lewis sanders noam chomsky,reagan atwater liberal hogwash agree,racist cry racist,  good glad recognize ridiculous pundit side agree w wrong,,yeah true google southern strategy,,mentally retarded gt gt gt gt gt gt false claim suppose personal hand puppet,claim christian athiest actually,  sry butt revisionist fdrepublican tripe want knock humility sight,  sure establish yes correct abt fact,mlk opinion gt,complete lack education revolt,mlk refer way,kkk associate kkk christianity,mona charen lolol,  folk ' bubba ' go home democratic party vote bill clinton,,yes president goldwater attorney general bug harass mlk,mlk talk prople,look like find moron,rwnj deny southern strategy happen,bigotry paint south ' racist ' ashamed,kkk come democrat party google,good night divide destroy nation worth talk,completely ignorant american political history,,tell accept fact rwnj source like fox block,isn t true,look southern strategy,,problem relive past play game night thank,j e hoover belong political party hooverism,  minority voter focus white male vote south guess happen,,kkk come democrat party kkk terrorize black republicans,,frankly human refer way ppl w d down brain damage choice ppl insult hv choice,kkk come democrat party able read correct,  think right lie bit analgesic bruise conscience,victim democrat spin sad,kkk terrorist wing democratic party,shit cite fact give opinion claim wapo fact,book end clinton administration,,confuse fact opinion expect left opinion trump,basically say mlk retard,,absurd kkk associate christian identity,,,,,,agree buh bye,point basic logical fallacy false equivalency document racial prob south,google southern strategy provide source lbj quote kessler,google southern strategy,,neurology bad political idea moral choice iow leave disabled people,mona charen opinion writer,yike argue yr old,bab ' use ' retarded ' grow use insult go way party line,know fight black man woman anymore ridiculous,  educate political history u s head rnc,kkk refer conservative christian formula like,funny thing change tell racist party dem gop bad,,,  oh alright disagree guilty party real healing need honest witness past,bigotry democrats see subtly subtly label southerner ' racist ',  abt michael steele plus year ' southern strategy ' alienate,read read wapo opinion blog opinion,derp strong guess hard search congressional record,think go come aid,deny democrat party form kkk,,believe kkk consider white supremacist christian supremacist,,,glad refer southern strategy regan launch candidaacy speech philadelphia miss,,myth discuss people fight life imbecile,attribute insult mlk vile,lol idiot try equate islam chricon kkk,bigotry repulsive sicken,yes new select fact cherrypick history instead see reality,bot ass suspend yep tick libs reality,uh know bigot,sigh respectfully disagree fuck stupid,say bot suspend time,google sort crap fact fact wash ur crap gt,respectfully disagree fuck stupid,,,link civil right history gop,basic republican party,wtf wrong w ppl,,fail cry democrat spin lol,think know actual history twisting stuff try upset,  civil right history gop end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thousand word picture police absolutely amazing today,  word picture police absolutely amazing today,sorry ask happen sydney,' ' gunman enter cafe take customer hostage lot know,,,,count word picture beer burger,world actually fuck prayer hostage family,hash tag highlight good humanity x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
late armed police storm cafe multiple hostage free paramedic enter scene,,vip paedophile network ' shut police investigation get close ' retire officer claim,aaron iranian monie kidnap hostage sydney,kill far hope,wow news late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prouder love country,sweet post lift heavy particularly night profession riddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hell wrong people take selfie m lindt cafe,,,read interesting perspective ' terror ' fight terror act show affraid,p s say agree interesting perspective,,hell wrong people take selfie m lindt cafe ugh,reflection moral impropriety decline,,isis rapisce e terrorizza un bar sudney e passanti fanno senfie che cazzo gli prende alla gente,,probably follow tony order yobbo,tragic narcissism interested social medium profile crisis underway,priority siege life balance captive say lot,hope future facelift go bad viral,,shameful civilised pple blame uncivilized,hell wrong people take selfie m lindt cafe,  fucken moron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not sleep know minute away innocent people hostage hour pray hostage sydney,distance joke terrify,stay safe alright xx,,stay safe xx ily,,sleep scared guy sydney stay safe,know u feel,look away tv horrible,mate m legit minute wtf stay safe xxxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
australia reaction magnificent,,need advert happy slow ' user expernce ',like try scroll downward treacle give article recently afraid,ok read article ctrl u code prune relevant bit save htm open,,make effort read article get benefit site lt sec,amazing australia reaction magnificent,hi want read story website unusable w ad appear text amp follow,make proud human great ppl cultue share human value,,read text ctrl u firefox bring code article start line,,proud rt australia reaction magnificent,muslim aussie brother sister australia love aussie mate,,expect great country,australia reaction magnificent win,muslims australia love loudly thank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pray crazy idea islam hubris act despicable,actually open interpretation think interpretation right,message banner say god allah muhammad prophet yes pretty sure islam idiot,islam muslim country breivik,' co opt ' muslim fuck anti white prick,attack white country believe islam rule world,islam reason take people hostage threaten white australian idiot,  create islamic enemy,act inside religion koran contain incitation violence,,important consider stop make excuse radical islam dickhead,cause year ago see muslim hurt news angry amp easily fall thing,pray disbeliever take hostage muslim allah hate disbeliever want burn skin,say muslims rule non muslims stop make excuse holy war,people die today fact defend islam make sick,hey jolly practice run feel yeah people moslem community sad zio,oh right entirely accident plane fly twin tower entirely accident muslim,muslim agree slogan flag think islam,y need proper muslim teach proper jihad uneducated youth act anger amp wrong,feel fold situation negative feeling moslem practice run cop think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
late update situation martin place,late update situation martin place scary,late update situation martin place,,late update situation martin place,,scary stuff live tv late update situation martin place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
